packet_number,source_ip,destination_ip,protocol,source_port,destination_port,tcp_flags,dns_query,payload_present,payload_length,payload_preview
1,10.10.20.17,10.10.10.53,UDP,53001,53,,portal.northstar.example,no,0,
2,10.10.20.17,203.0.113.10,TCP,51000,443,S,,no,0,
3,203.0.113.10,10.10.20.17,TCP,443,51000,SA,,no,0,
4,10.10.20.17,203.0.113.10,TCP,51000,443,A,,no,0,
5,10.10.20.17,10.10.20.40,TCP,52001,22,S,,no,0,
6,10.10.20.17,10.10.20.40,TCP,52002,22,S,,no,0,
7,10.10.20.17,10.10.20.40,TCP,52003,22,S,,no,0,
8,10.10.20.17,10.10.20.40,TCP,52004,22,S,,no,0,
9,10.10.20.17,10.10.10.53,UDP,53020,53,,sync-update.example,no,0,
10,10.10.20.17,203.0.113.77,TCP,52361,443,S,,no,0,
11,203.0.113.77,10.10.20.17,TCP,443,52361,SA,,no,0,
12,10.10.20.17,203.0.113.77,TCP,52361,443,A,,no,0,
13,10.10.20.17,203.0.113.77,TCP,52361,443,PA,,yes,23,synthetic-training-data
14,10.10.20.17,203.0.113.88,TCP,52488,8443,S,,no,0,
15,203.0.113.88,10.10.20.17,TCP,8443,52488,SA,,no,0,
16,10.10.20.17,203.0.113.88,TCP,52488,8443,A,,no,0,
17,10.10.20.17,10.10.20.40,TCP,52550,443,S,,no,0,
18,10.10.20.40,10.10.20.17,TCP,443,52550,SA,,no,0,
19,10.10.20.17,10.10.20.40,TCP,52550,443,A,,no,0,
