timestamp,user,session_id,source_ip,user_agent,event_type,resource,authentication_method,mfa_verified,outcome,sensitive_action
2026-09-26T13:00:14Z,alex.employee,SESSION-ALEX-2101,10.10.20.22,Chrome-Windows,login,/login,password+mfa,true,success,false
2026-09-26T13:00:29Z,alex.employee,SESSION-ALEX-2101,10.10.20.22,Chrome-Windows,page_view,/dashboard,session,true,success,false
2026-09-26T13:02:11Z,alex.employee,SESSION-ALEX-2101,10.10.20.22,Chrome-Windows,page_view,/benefits,session,true,success,false
2026-09-26T13:04:37Z,alex.employee,SESSION-ALEX-2101,10.10.20.22,Chrome-Windows,logout,/logout,session,true,success,false
2026-09-26T13:05:02Z,finance.user,SESSION-FIN-8842,10.10.20.17,Chrome-Windows,login,/login,password+mfa,true,success,false
2026-09-26T13:05:19Z,finance.user,SESSION-FIN-8842,10.10.20.17,Chrome-Windows,page_view,/finance/dashboard,session,true,success,false
2026-09-26T13:05:48Z,finance.user,SESSION-FIN-8842,10.10.20.17,Chrome-Windows,page_view,/finance/invoices,session,true,success,false
2026-09-26T13:06:21Z,finance.user,SESSION-FIN-8842,198.51.100.88,Firefox-Linux,page_view,/finance/dashboard,session,false,success,false
2026-09-26T13:06:38Z,finance.user,SESSION-FIN-8842,198.51.100.88,Firefox-Linux,sensitive_action,/finance/export-payments,session,false,success,true
2026-09-26T13:06:59Z,finance.user,SESSION-FIN-8842,198.51.100.88,Firefox-Linux,sensitive_action,/account/security,session,false,success,true
2026-09-26T13:07:18Z,finance.user,SESSION-FIN-8842,10.10.20.17,Chrome-Windows,page_view,/finance/invoices,session,true,success,false
2026-09-26T13:07:41Z,finance.user,SESSION-FIN-8842,198.51.100.88,Firefox-Linux,sensitive_action,/finance/vendor-bank-details,session,false,success,true
2026-09-26T13:08:04Z,finance.user,SESSION-FIN-8842,10.10.20.17,Chrome-Windows,logout,/logout,session,true,success,false
2026-09-26T13:10:06Z,it.admin,SESSION-ADMIN-4419,10.10.20.10,Edge-Windows,login,/login,password+mfa,true,success,false
2026-09-26T13:10:31Z,it.admin,SESSION-ADMIN-4419,10.10.20.10,Edge-Windows,page_view,/admin/dashboard,session,true,success,false
2026-09-26T13:11:12Z,it.admin,SESSION-ADMIN-4419,10.10.20.10,Edge-Windows,sensitive_action,/admin/audit-logs,session,true,success,true
2026-09-26T13:12:40Z,it.admin,SESSION-ADMIN-4419,10.10.20.10,Edge-Windows,logout,/logout,session,true,success,false
