control_id,name,category,field,expected,actual,status,severity,reason,remediation
BASE-001,Minimum Password Length,Authentication,password_minimum_length,>= 14,8,FAIL,HIGH,Observed value is below the required minimum.,Configure the minimum password length to at least 14 characters.
BASE-002,Password Complexity,Authentication,password_complexity_enabled,True,True,PASS,MODERATE,Observed value matches baseline.,Enable password complexity requirements through the applicable security policy.
BASE-003,Account Lockout Threshold,Authentication,account_lockout_threshold,1 through 5,0,FAIL,HIGH,Observed value falls outside the approved range.,Configure account lockout to trigger after no more than five invalid authentication attempts while avoiding a value of zero.
BASE-004,Guest Account Disabled,Account Security,guest_account_enabled,False,False,PASS,HIGH,Observed value matches baseline.,Disable the built-in Guest account unless a documented business requirement exists.
BASE-005,Domain Firewall Enabled,Network Security,firewall_domain_enabled,True,True,PASS,HIGH,Observed value matches baseline.,Enable the Windows Defender Firewall for the Domain profile.
BASE-006,Private Firewall Enabled,Network Security,firewall_private_enabled,True,True,PASS,HIGH,Observed value matches baseline.,Enable the Windows Defender Firewall for the Private profile.
BASE-007,Public Firewall Enabled,Network Security,firewall_public_enabled,True,True,PASS,HIGH,Observed value matches baseline.,Enable the Windows Defender Firewall for the Public profile.
BASE-008,Remote Desktop Exposure Review,Remote Access,remote_desktop_enabled,Review if enabled,True,REVIEW,MODERATE,Setting is enabled and requires analyst review to confirm business justification and safeguards.,"Confirm that Remote Desktop is required. If it is not needed, disable it. If required, restrict access and apply strong authentication controls."
BASE-009,Remote Desktop Network Level Authentication,Remote Access,remote_desktop_nla_enabled,True when remote_desktop_enabled = True,False,FAIL,HIGH,Conditional requirement is not satisfied.,Enable Network Level Authentication whenever Remote Desktop is enabled.
BASE-010,SMBv1 Disabled,Network Security,smbv1_enabled,False,False,PASS,HIGH,Observed value matches baseline.,Disable SMBv1 and use supported SMB protocol versions.
BASE-011,PowerShell Script Block Logging,Logging and Monitoring,powershell_script_block_logging_enabled,True,False,FAIL,MODERATE,Observed value does not match baseline.,Enable PowerShell Script Block Logging to improve visibility into PowerShell activity.
BASE-012,Process Creation Auditing,Logging and Monitoring,audit_process_creation_enabled,True,True,PASS,MODERATE,Observed value matches baseline.,Enable process creation auditing to improve endpoint investigation and detection capabilities.
BASE-013,Automatic Security Updates,Patch Management,automatic_security_updates_enabled,True,True,PASS,HIGH,Observed value matches baseline.,Enable automatic security updates or manage the system through an approved centralized patch-management process.
BASE-014,Endpoint Protection Enabled,Endpoint Security,endpoint_protection_enabled,True,True,PASS,HIGH,Observed value matches baseline.,Enable approved endpoint protection and ensure protection services remain active.
BASE-015,Local Administrator Count,Privilege Management,local_administrator_count,<= 2,4,FAIL,MODERATE,Observed value exceeds the permitted maximum.,Review local administrator membership and reduce privileged accounts to the minimum required for business operations.
